# Selection     : patch(outlet)
# Faces         : 10
# Area          : 1.00000000e-01
# Time          	sum(phi)
1               	9.99999958e-02
2               	1.00000002e-01
3               	9.99999947e-02
4               	1.00000018e-01
5               	1.00000009e-01
6               	1.00000004e-01
7               	9.99999854e-02
8               	9.99999951e-02
9               	9.99999989e-02
10              	9.99999995e-02
11              	9.99999998e-02
12              	9.99999984e-02
13              	1.00000001e-01
14              	9.99999990e-02
15              	9.99999992e-02
16              	9.99999990e-02
17              	1.00000000e-01
18              	9.99999994e-02
19              	9.99999994e-02
20              	9.99999994e-02
