# Selection     : all
# Cells         : 1000
# Volume        : 1.00000000e+00
# Time          	max(p)	max(U)
1.15            	1.97374734e+00	(1.25934257e+00 1.12758724e-01 0.00000000e+00)
1.2             	1.95359414e+00	(1.26629868e+00 1.12815244e-01 0.00000000e+00)
1.25            	1.93510843e+00	(1.27303526e+00 1.12861162e-01 0.00000000e+00)
1.3             	1.91815005e+00	(1.27956544e+00 1.12899592e-01 0.00000000e+00)
1.35            	1.90253927e+00	(1.28589982e+00 1.12932692e-01 0.00000000e+00)
1.4             	1.88815336e+00	(1.29203868e+00 1.12961875e-01 0.00000000e+00)
1.45            	1.87487490e+00	(1.29798957e+00 1.12988011e-01 0.00000000e+00)
1.5             	1.86259978e+00	(1.30375835e+00 1.13011593e-01 0.00000000e+00)
1.55            	1.85123529e+00	(1.30935012e+00 1.13032863e-01 0.00000000e+00)
1.6             	1.84069905e+00	(1.31477071e+00 1.13051922e-01 0.00000000e+00)
1.65            	1.83091727e+00	(1.32002306e+00 1.13068809e-01 0.00000000e+00)
1.7             	1.82182426e+00	(1.32511184e+00 1.13083558e-01 0.00000000e+00)
1.75            	1.81336100e+00	(1.33004145e+00 1.13096235e-01 0.00000000e+00)
1.8             	1.80547461e+00	(1.33481612e+00 1.13106950e-01 0.00000000e+00)
1.85            	1.79811754e+00	(1.33943995e+00 1.13115859e-01 0.00000000e+00)
1.9             	1.79124693e+00	(1.34391697e+00 1.13123152e-01 0.00000000e+00)
1.95            	1.78482414e+00	(1.34825110e+00 1.13129045e-01 0.00000000e+00)
2               	1.77881422e+00	(1.35244622e+00 1.13133755e-01 0.00000000e+00)
2.05            	1.77317507e+00	(1.35650612e+00 1.13137487e-01 0.00000000e+00)
2.1             	1.76790815e+00	(1.36043456e+00 1.13140451e-01 0.00000000e+00)
2.15            	1.76295842e+00	(1.36423523e+00 1.13142809e-01 0.00000000e+00)
2.2             	1.75831145e+00	(1.36791176e+00 1.13144698e-01 0.00000000e+00)
2.25            	1.75394541e+00	(1.37146782e+00 1.13146232e-01 0.00000000e+00)
