# Selection     : all
# Cells         : 1000
# Volume        : 1.00000000e+00
# Time          	min(p)
11.35           	5.88876170e-03
11.4            	5.88876170e-03
11.45           	5.88876125e-03
11.5            	5.88876125e-03
11.55           	5.88878870e-03
11.6            	5.88881301e-03
11.65           	5.88881301e-03
11.7            	5.88880578e-03
11.75           	5.88880825e-03
11.8            	5.88881622e-03
11.85           	5.88881622e-03
11.9            	5.88884043e-03
11.95           	5.88884043e-03
12              	5.88883412e-03
12.05           	5.88883254e-03
12.1            	5.88883753e-03
12.15           	5.88883753e-03
12.2            	5.88885717e-03
12.25           	5.88885184e-03
12.3            	5.88885184e-03
12.35           	5.88883249e-03
12.4            	5.88883932e-03
12.45           	5.88883932e-03
12.5            	5.88887288e-03
12.55           	5.88886695e-03
12.6            	5.88885786e-03
12.65           	5.88885786e-03
12.7            	5.88884254e-03
12.75           	5.88885655e-03
12.8            	5.88885655e-03
12.85           	5.88886570e-03
12.9            	5.88886172e-03
12.95           	5.88886172e-03
13              	5.88884349e-03
13.05           	5.88885037e-03
13.1            	5.88885037e-03
13.15           	5.88886967e-03
13.2            	5.88886967e-03
13.25           	5.88886052e-03
13.3            	5.88885595e-03
13.35           	5.88885595e-03
13.4            	5.88886107e-03
13.45           	5.88886107e-03
13.5            	5.88886650e-03
13.55           	5.88886338e-03
13.6            	5.88885859e-03
13.65           	5.88885859e-03
13.7            	5.88886438e-03
13.75           	5.88886676e-03
13.8            	5.88886676e-03
13.85           	5.88886676e-03
13.9            	5.88886133e-03
13.95           	5.88885718e-03
14              	5.88885718e-03
14.05           	5.88887321e-03
14.1            	5.88886890e-03
14.15           	5.88886890e-03
14.2            	5.88886383e-03
14.25           	5.88885648e-03
14.3            	5.88885648e-03
14.35           	5.88886446e-03
14.4            	5.88886446e-03
14.45           	5.88886589e-03
14.5            	5.88886422e-03
14.55           	5.88886422e-03
14.6            	5.88884413e-03
14.65           	5.88885606e-03
14.7            	5.88885606e-03
14.75           	5.88886866e-03
14.8            	5.88886710e-03
14.85           	5.88886710e-03
14.9            	5.88885112e-03
14.95           	5.88885632e-03
15              	5.88885632e-03
15.05           	5.88885632e-03
15.1            	5.88887034e-03
15.15           	5.88886587e-03
15.2            	5.88886553e-03
15.25           	5.88886553e-03
15.3            	5.88885744e-03
15.35           	5.88886622e-03
15.4            	5.88886622e-03
15.45           	5.88886622e-03
15.5            	5.88886622e-03
15.55           	5.88886622e-03
15.6            	5.88886622e-03
15.65           	5.88886622e-03
15.7            	5.88886721e-03
15.75           	5.88886256e-03
15.8            	5.88886416e-03
15.85           	5.88886416e-03
15.9            	5.88886479e-03
15.95           	5.88886151e-03
16              	5.88886221e-03
16.05           	5.88886221e-03
16.1            	5.88886641e-03
16.15           	5.88886489e-03
16.2            	5.88886570e-03
16.25           	5.88886570e-03
16.3            	5.88886437e-03
16.35           	5.88886701e-03
16.4            	5.88886637e-03
16.45           	5.88886679e-03
16.5            	5.88886679e-03
16.55           	5.88886758e-03
16.6            	5.88886741e-03
16.65           	5.88886741e-03
16.7            	5.88886741e-03
16.75           	5.88886741e-03
16.8            	5.88886741e-03
16.85           	5.88886741e-03
16.9            	5.88886741e-03
16.95           	5.88886620e-03
17              	5.88886465e-03
17.05           	5.88886423e-03
17.1            	5.88886423e-03
17.15           	5.88886486e-03
17.2            	5.88886647e-03
17.25           	5.88886676e-03
17.3            	5.88886676e-03
17.35           	5.88886729e-03
17.4            	5.88886574e-03
17.45           	5.88886566e-03
17.5            	5.88886629e-03
17.55           	5.88886629e-03
17.6            	5.88886770e-03
17.65           	5.88886355e-03
17.7            	5.88886408e-03
17.75           	5.88886399e-03
17.8            	5.88886399e-03
17.85           	5.88886486e-03
17.9            	5.88886710e-03
17.95           	5.88886710e-03
18              	5.88886710e-03
18.05           	5.88886710e-03
18.1            	5.88886710e-03
18.15           	5.88886710e-03
18.2            	5.88886568e-03
18.25           	5.88886638e-03
18.3            	5.88886638e-03
18.35           	5.88886638e-03
18.4            	5.88886638e-03
18.45           	5.88886638e-03
18.5            	5.88886638e-03
18.55           	5.88886638e-03
18.6            	5.88886403e-03
18.65           	5.88886760e-03
18.7            	5.88886561e-03
18.75           	5.88886561e-03
18.8            	5.88886405e-03
18.85           	5.88886446e-03
18.9            	5.88886659e-03
18.95           	5.88886824e-03
19              	5.88886824e-03
19.05           	5.88886797e-03
19.1            	5.88886580e-03
19.15           	5.88886580e-03
19.2            	5.88886580e-03
19.25           	5.88886580e-03
19.3            	5.88886580e-03
19.35           	5.88886580e-03
19.4            	5.88886580e-03
19.45           	5.88886389e-03
19.5            	5.88886529e-03
19.55           	5.88886551e-03
19.6            	5.88886551e-03
19.65           	5.88886631e-03
19.7            	5.88886720e-03
19.75           	5.88886605e-03
19.8            	5.88886605e-03
19.85           	5.88886607e-03
19.9            	5.88886617e-03
19.95           	5.88886687e-03
20              	5.88886624e-03
