# Selection     : all
# Cells         : 1000
# Volume        : 1.00000000e+00
# Time          	maxMag(U)
15.25           	1.47015222e+00
15.3            	1.47015222e+00
15.35           	1.47015222e+00
15.4            	1.47015223e+00
15.45           	1.47015224e+00
15.5            	1.47015225e+00
15.55           	1.47015225e+00
15.6            	1.47015221e+00
15.65           	1.47015217e+00
15.7            	1.47015223e+00
15.75           	1.47015223e+00
15.8            	1.47015223e+00
15.85           	1.47015222e+00
15.9            	1.47015224e+00
15.95           	1.47015224e+00
16              	1.47015223e+00
16.05           	1.47015223e+00
16.1            	1.47015223e+00
16.15           	1.47015223e+00
16.2            	1.47015222e+00
16.25           	1.47015223e+00
16.3            	1.47015222e+00
16.35           	1.47015222e+00
16.4            	1.47015222e+00
16.45           	1.47015222e+00
16.5            	1.47015223e+00
16.55           	1.47015223e+00
16.6            	1.47015223e+00
16.65           	1.47015223e+00
16.7            	1.47015223e+00
16.75           	1.47015223e+00
16.8            	1.47015224e+00
16.85           	1.47015224e+00
16.9            	1.47015222e+00
16.95           	1.47015223e+00
17              	1.47015222e+00
17.05           	1.47015222e+00
17.1            	1.47015222e+00
17.15           	1.47015222e+00
17.2            	1.47015223e+00
17.25           	1.47015222e+00
17.3            	1.47015223e+00
17.35           	1.47015223e+00
17.4            	1.47015223e+00
17.45           	1.47015223e+00
17.5            	1.47015222e+00
17.55           	1.47015223e+00
17.6            	1.47015223e+00
17.65           	1.47015223e+00
17.7            	1.47015222e+00
17.75           	1.47015222e+00
17.8            	1.47015222e+00
17.85           	1.47015222e+00
17.9            	1.47015222e+00
17.95           	1.47015222e+00
18              	1.47015222e+00
18.05           	1.47015222e+00
18.1            	1.47015223e+00
18.15           	1.47015224e+00
18.2            	1.47015223e+00
18.25           	1.47015223e+00
18.3            	1.47015222e+00
18.35           	1.47015222e+00
18.4            	1.47015223e+00
18.45           	1.47015223e+00
18.5            	1.47015222e+00
18.55           	1.47015221e+00
18.6            	1.47015223e+00
18.65           	1.47015223e+00
18.7            	1.47015223e+00
18.75           	1.47015222e+00
18.8            	1.47015223e+00
18.85           	1.47015223e+00
18.9            	1.47015222e+00
18.95           	1.47015222e+00
19              	1.47015222e+00
19.05           	1.47015223e+00
19.1            	1.47015223e+00
19.15           	1.47015223e+00
