# Selection     : all
# Cells         : 1000
# Volume        : 1.00000000e+00
# Time          	max(p)
11.35           	1.68031737e+00
11.4            	1.68031737e+00
11.45           	1.68031761e+00
11.5            	1.68031761e+00
11.55           	1.68031802e+00
11.6            	1.68031827e+00
11.65           	1.68031827e+00
11.7            	1.68031842e+00
11.75           	1.68031843e+00
11.8            	1.68031858e+00
11.85           	1.68031858e+00
11.9            	1.68031876e+00
11.95           	1.68031876e+00
12              	1.68031876e+00
12.05           	1.68031876e+00
12.1            	1.68031898e+00
12.15           	1.68031898e+00
12.2            	1.68031900e+00
12.25           	1.68031900e+00
12.3            	1.68031900e+00
12.35           	1.68031900e+00
12.4            	1.68031919e+00
12.45           	1.68031919e+00
12.5            	1.68031919e+00
12.55           	1.68031919e+00
12.6            	1.68031919e+00
12.65           	1.68031919e+00
12.7            	1.68031919e+00
12.75           	1.68031918e+00
12.8            	1.68031918e+00
12.85           	1.68031917e+00
12.9            	1.68031917e+00
12.95           	1.68031917e+00
13              	1.68031917e+00
13.05           	1.68031917e+00
13.1            	1.68031917e+00
13.15           	1.68031917e+00
13.2            	1.68031917e+00
13.25           	1.68031917e+00
13.3            	1.68031917e+00
13.35           	1.68031917e+00
13.4            	1.68031918e+00
13.45           	1.68031918e+00
13.5            	1.68031918e+00
13.55           	1.68031917e+00
13.6            	1.68031917e+00
13.65           	1.68031917e+00
13.7            	1.68031918e+00
13.75           	1.68031918e+00
13.8            	1.68031918e+00
13.85           	1.68031918e+00
13.9            	1.68031933e+00
13.95           	1.68031933e+00
14              	1.68031933e+00
14.05           	1.68031933e+00
14.1            	1.68031921e+00
14.15           	1.68031921e+00
14.2            	1.68031921e+00
14.25           	1.68031921e+00
14.3            	1.68031921e+00
14.35           	1.68031920e+00
14.4            	1.68031920e+00
14.45           	1.68031920e+00
14.5            	1.68031919e+00
14.55           	1.68031919e+00
14.6            	1.68031919e+00
14.65           	1.68031919e+00
14.7            	1.68031919e+00
14.75           	1.68031918e+00
14.8            	1.68031918e+00
14.85           	1.68031918e+00
14.9            	1.68031918e+00
14.95           	1.68031918e+00
15              	1.68031918e+00
15.05           	1.68031918e+00
15.1            	1.68031918e+00
15.15           	1.68031919e+00
15.2            	1.68031919e+00
15.25           	1.68031919e+00
15.3            	1.68031919e+00
15.35           	1.68031919e+00
15.4            	1.68031919e+00
15.45           	1.68031919e+00
15.5            	1.68031919e+00
15.55           	1.68031919e+00
15.6            	1.68031919e+00
15.65           	1.68031919e+00
15.7            	1.68031920e+00
15.75           	1.68031920e+00
15.8            	1.68031920e+00
15.85           	1.68031920e+00
15.9            	1.68031920e+00
15.95           	1.68031921e+00
16              	1.68031921e+00
16.05           	1.68031921e+00
16.1            	1.68031921e+00
16.15           	1.68031921e+00
16.2            	1.68031921e+00
16.25           	1.68031921e+00
16.3            	1.68031921e+00
16.35           	1.68031921e+00
16.4            	1.68031921e+00
16.45           	1.68031924e+00
16.5            	1.68031924e+00
16.55           	1.68031924e+00
16.6            	1.68031924e+00
16.65           	1.68031924e+00
16.7            	1.68031924e+00
16.75           	1.68031924e+00
16.8            	1.68031924e+00
16.85           	1.68031924e+00
16.9            	1.68031924e+00
16.95           	1.68031913e+00
17              	1.68031913e+00
17.05           	1.68031913e+00
17.1            	1.68031913e+00
17.15           	1.68031909e+00
17.2            	1.68031908e+00
17.25           	1.68031908e+00
17.3            	1.68031908e+00
17.35           	1.68031939e+00
17.4            	1.68031939e+00
17.45           	1.68031939e+00
17.5            	1.68031939e+00
17.55           	1.68031939e+00
17.6            	1.68031939e+00
17.65           	1.68031904e+00
17.7            	1.68031904e+00
17.75           	1.68031901e+00
17.8            	1.68031901e+00
17.85           	1.68031901e+00
17.9            	1.68031925e+00
17.95           	1.68031925e+00
18              	1.68031925e+00
18.05           	1.68031925e+00
18.1            	1.68031925e+00
18.15           	1.68031925e+00
18.2            	1.68031928e+00
18.25           	1.68031928e+00
18.3            	1.68031928e+00
18.35           	1.68031928e+00
18.4            	1.68031928e+00
18.45           	1.68031928e+00
18.5            	1.68031928e+00
18.55           	1.68031928e+00
18.6            	1.68031901e+00
18.65           	1.68031900e+00
18.7            	1.68031900e+00
18.75           	1.68031900e+00
18.8            	1.68031915e+00
18.85           	1.68031915e+00
18.9            	1.68031934e+00
18.95           	1.68031939e+00
19              	1.68031939e+00
19.05           	1.68031939e+00
19.1            	1.68031917e+00
19.15           	1.68031917e+00
19.2            	1.68031917e+00
19.25           	1.68031917e+00
19.3            	1.68031917e+00
19.35           	1.68031917e+00
19.4            	1.68031917e+00
19.45           	1.68031917e+00
19.5            	1.68031917e+00
19.55           	1.68031917e+00
19.6            	1.68031917e+00
19.65           	1.68031917e+00
19.7            	1.68031917e+00
19.75           	1.68031918e+00
19.8            	1.68031918e+00
19.85           	1.68031918e+00
19.9            	1.68031918e+00
19.95           	1.68031918e+00
20              	1.68031918e+00
